DyadID,ParticipantID,TrialNum,ClickPresence
29231208,2,6,0
29231208,2,7,2
29231208,2,8,3
29231208,2,9,3
29231208,2,10,4
29231208,2,11,2
29231208,2,12,3
29231208,2,13,3
29231208,2,14,4
29231208,2,15,3
29231208,2,16,2
29231208,2,17,3
29231208,2,18,4
30231211,1,1,2
30231211,1,2,2
30231211,1,3,2
30231211,1,4,2
30231211,1,5,0
30231211,1,6,3
30231211,1,7,2
30231211,1,8,2
30231211,1,9,0
30231211,1,10,2
30231211,1,11,2
30231211,1,12,3
30231211,1,13,3
30231211,1,14,3
30231211,1,15,3
30231211,1,16,3
30231211,1,17,2
30231211,1,18,3
30231211,2,1,4
30231211,2,2,4
30231211,2,3,4
30231211,2,4,4
30231211,2,5,4
30231211,2,6,4
30231211,2,7,4
30231211,2,8,4
30231211,2,9,4
30231211,2,10,4
30231211,2,11,4
30231211,2,12,4
30231211,2,13,4
30231211,2,14,3
30231211,2,15,4
30231211,2,16,4
30231211,2,17,3
30231211,2,18,3
31231213,1,1,3
31231213,1,2,3
31231213,1,3,3
31231213,1,4,4
31231213,1,5,2
31231213,1,6,0
31231213,1,7,2
31231213,1,8,3
31231213,1,9,3
31231213,1,10,3
31231213,1,11,3
31231213,1,12,0
31231213,1,13,3
31231213,1,14,0
31231213,1,15,4
31231213,1,16,3
31231213,1,17,3
31231213,1,18,4
31231213,2,1,0
31231213,2,2,4
31231213,2,3,3
31231213,2,4,0
31231213,2,5,3
31231213,2,6,3
31231213,2,7,3
31231213,2,8,4
31231213,2,9,3
31231213,2,10,2
31231213,2,11,2
31231213,2,12,0
31231213,2,13,3
31231213,2,14,2
31231213,2,15,3
31231213,2,16,0
31231213,2,17,4
31231213,2,18,4
32230804,1,1,2
32230804,1,2,3
32230804,1,3,2
32230804,1,4,3
32230804,1,5,3
32230804,1,6,2
32230804,1,7,4
32230804,1,8,4
32230804,1,9,3
32230804,1,10,3
32230804,1,11,4
32230804,1,12,4
32230804,1,13,2
32230804,1,14,3
32230804,1,15,3
32230804,1,16,3
32230804,1,17,2
32230804,1,18,3
32230804,2,1,0
32230804,2,2,2
32230804,2,3,0
32230804,2,4,2
32230804,2,5,3
32230804,2,6,0
32230804,2,7,3
32230804,2,8,4
32230804,2,9,4
32230804,2,10,3
32230804,2,11,3
32230804,2,12,4
32230804,2,13,0
32230804,2,14,3
32230804,2,15,2
32230804,2,16,4
32230804,2,17,0
32230804,2,18,3
