DyadID,ParticipantID,TrialNum,ROI,Coh_PRE,Coh_POST
3,2,2,Central,0.207682,0.261329
3,2,2,Parietal,0.221185,0.227975
3,2,2,Left,0.333084,0.391641
3,2,2,Right,0.229180,0.262939
3,2,2,FrontoParietal,0.262417,0.287816
3,2,3,Frontal,0.387923,0.436867
3,2,3,Central,0.288351,0.273296
3,2,3,Parietal,0.269485,0.280019
3,2,3,Left,0.424392,0.450339
3,2,3,Right,0.267677,0.273789
3,2,3,FrontoParietal,0.320388,0.343317
3,2,4,Frontal,0.407226,0.352503
3,2,4,Central,0.255592,0.221239
3,2,4,Parietal,0.244936,0.223216
3,2,4,Left,0.399433,0.337271
3,2,4,Right,0.245437,0.212356
3,2,4,FrontoParietal,0.308898,0.267930
3,2,5,Frontal,0.406209,0.418610
3,2,5,Central,0.280854,0.262768
3,2,5,Parietal,0.261159,0.267436
3,2,5,Left,0.402641,0.444192
3,2,5,Right,0.286715,0.253064
3,2,5,FrontoParietal,0.318713,0.324823
3,2,6,Frontal,0.407162,0.420551
3,2,6,Central,0.257317,0.287889
3,2,6,Parietal,0.258030,0.260357
3,2,6,Left,0.413604,0.404392
3,2,6,Right,0.229677,0.267697
3,2,6,FrontoParietal,0.315850,0.315993
3,2,7,Frontal,0.413236,0.384285
3,2,7,Central,0.268635,0.311895
3,2,7,Parietal,0.265265,0.263859
3,2,7,Left,0.415416,0.433090
3,2,7,Right,0.267541,0.272684
3,2,7,FrontoParietal,0.327293,0.316188
3,2,8,Frontal,0.363884,0.391734
3,2,8,Central,0.275835,0.294394
3,2,8,Parietal,0.234254,0.284295
3,2,8,Left,0.354787,0.427435
3,2,8,Right,0.236209,0.256108
3,2,8,FrontoParietal,0.274290,0.331811
3,2,9,Frontal,0.368589,0.400409
3,2,9,Central,0.293396,0.277456
3,2,9,Parietal,0.242959,0.226805
3,2,9,Left,0.389801,0.389178
3,2,9,Right,0.251316,0.239242
3,2,9,FrontoParietal,0.297085,0.288852
3,2,10,Frontal,0.430418,0.449050
3,2,10,Central,0.284303,0.346200
3,2,10,Parietal,0.261163,0.304591
3,2,10,Left,0.454652,0.488239
3,2,10,Right,0.238185,0.274703
3,2,10,FrontoParietal,0.335657,0.372186
3,2,11,Frontal,0.413887,0.478017
3,2,11,Central,0.282930,0.423623
3,2,11,Parietal,0.277636,0.457707
3,2,11,Left,0.415646,0.502753
3,2,11,Right,0.251012,0.423028
3,2,11,FrontoParietal,0.326793,0.460827
3,2,12,Frontal,0.430612,0.382522
3,2,12,Central,0.387530,0.285078
3,2,12,Parietal,0.324122,0.256636
3,2,12,Left,0.499786,0.396364
3,2,12,Right,0.298196,0.251428
3,2,12,FrontoParietal,0.370723,0.293786
3,2,13,Frontal,0.322249,0.351460
3,2,13,Central,0.193935,0.245424
3,2,13,Parietal,0.229533,0.235899
3,2,13,Left,0.324704,0.369099
3,2,13,Right,0.224256,0.247035
3,2,13,FrontoParietal,0.271680,0.280586
3,2,14,Frontal,0.449497,0.384395
3,2,14,Central,0.353116,0.324535
3,2,14,Parietal,0.269367,0.272839
3,2,14,Left,0.462198,0.424370
3,2,14,Right,0.263309,0.270333
3,2,14,FrontoParietal,0.333577,0.316937
3,2,15,Frontal,0.385837,0.422142
3,2,15,Central,0.282966,0.371564
3,2,15,Parietal,0.264702,0.274779
3,2,15,Left,0.439030,0.375134
3,2,15,Right,0.251587,0.287634
